Animal_n	clone_ID	time_of_electroporation_	time_of_analysis	clone_type	clone_subtype	clone_subtype	M-L_dispersion_(Âµm)	clone_size	number_of_BG	number_of_GLA	number_of_WMA	number_of_VZA	folium
1	cCcGcKcY_(all_low)	E12	P0	HomC	Cortical	BG	400	4	4	0	0	0	middle-post
1	cCcGnGcKnKcYnYcRnR	E12	P0	HomC	Cortical	BG	100	8	8	0	0	0	middle
1	cG	E12	P0	HomC	Cortical	BG	100	3	3	0	0	0	ant-post
1	cGcKcY_(all_low)	E12	P0	HomC	Cortical	BG	200	9	9	0	0	0	middle-post
1	cGnGcKnKcYnY_____(nG_nK_nY_low)_	E12	P0	HomC	Cortical	BG	100	6	6	0	0	0	ant
1	cGnGnKnYnR_(K_Y_R_low)_	E12	P0	HomC	Cortical	BG	100	2	2	0	0	0	ant
1	cScC(both_low)	E12	P0	HomC	Cortical	BG	100	2	2	0	0	0	ant
1	cScCcGnGcKcYnR	E12	P0	HomC	PWM	WMA	200	4	0	0	4	0	pwm
1	cSnScCnCcG_(G_low)	E12	P0	HomC	Cortical	BG	100	8	8	0	0	0	middle
1	cSnScCnCnGnKnYnR_(G_K_Y_R_low)	E12	P0	HomC	Cortical	BG	100	3	3	0	0	0	ant
1	cSnSnCcGnGcKnKcYnYcRnR_(nS__nK__nY__cR_low)_	E12	P0	HomC	Cortical	BG	100	4	4	0	0	0	ant
1	cSnSnCcGnGcKnKcYnYnR_(nK_nY_low)	E12	P0	HomC	Cortical	BG	100	2	2	0	0	0	ant
1	cSnSnCcGnGnKnY_________(cS_cG_low)	E12	P0	HomC	PWM	WMA	100	4	0	0	4	0	pwm
1	cSnSnCcGnGnKnYcRnR_(cS_nK_nY_cR_low)	E12	P0	HomC	PWM	WMA	100	4	0	0	4	0	pwm
1	cSnSnCnGnKnYnR_______________(all_nuclear_low)	E12	P0	HomC	Cortical	BG	100	3	3	0	0	0	ant
1	nCcGnG	E12	P0	HetC	Cortical	BG_GLA	100	2	1	1	0	0	post
1	nKnY	E12	P0	HomC	Cortical	GLA	100	1	0	1	0	0	post
1	nScCnCcGnGcKnKcYnYcRnR	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
1	nScG_(S_low)_	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
1	nScGnGcKnKcYnY_(nS_nG_nK_nY_low)_	E12	P0	HomC	Cortical	BG	100	3	3	0	0	0	post
1	nScGnGcKnKcYnYnR__(nS_nG_nK_nY_low)	E12	P0	HomC	Cortical	BG	100	1	1	0	0	0	post
1	nScGnGcKnKcYnYnS__(all_low)	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
1	nSnCcGnG_(G_e_C_low)	E12	P0	HomC	Cortical	BG	100	2	2	0	0	0	post
1	nSnCcGnGcKnKcYnYnR__(nS_nC_nK_nY_nR_low)_	E12	P0	HomC	Cortical	GLA	100	1	0	1	0	0	post
1	nSnCcGnGnKcYnYnR	E12	P0	HomC	Cortical	BG	100	2	2	0	0	0	post
1	nSnCcGnGnKnYnR_(all_n_low)	E12	P0	HomC	Cortical	BG	100	3	3	0	0	0	post
1	nSnCcGnGnR_(nS_nC_nR_low)	E12	P0	HomC	Cortical	BG	100	3	3	0	0	0	post
2	cCcGnGnR_(R_low)_	E12	P0	HomC	PWM	WMA	100	8	0	0	8	0	pwm
2	cCcGnR_(R_low	E12	P0	HomC	PWM	WMA	100	7	0	0	7	0	ant
2	cCnCcGnGnKcYnYnR_(nC_nK_nY_low)_	E12	P0	HomC	VZ	VZ	100	2	0	0	0	2	NA
2	cGcKcY_(all_low)	E12	P0	HetC	Cortical_PWM	BG_GLA_WMA	300	8	5	1	2	0	post
2	cGnGcKnKcYnYnR_(R_low)_	E12	P0	HomC	PWM	WMA	100	2	0	0	2	0	pwm
2	cGnGnKnY(K_Y_low)	E12	P0	HomC	VZ	VZ	100	1	0	0	0	1	NA
2	cSnScCnCcGnGcKnKcYnYcRnR	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
2	nCcGnG	E12	P0	HetC	Cortical_PWM	GLA_WMA	600	3	0	2	1	0	post
2	nCcGnGnKcYnYnR_(nC_nK_cY_nY_low)	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
2	nCcGnGnR	E12	P0	HetC	Cortical_PWM	GLA_WMA	100	5	0	3	2	0	post
2	nScCnCcGnGcKnKcYnYcRnR_(nS_cR_low)	E12	P0	HomC	PWM	WMA	100	5	0	0	5	0	pwm
2	nScCnCcGnGcKnKcYnYnR	E12	P0	HetC	Cortical_PWM	BG_GLA_WMA	100	17	5	4	8	0	middle
2	nScCnCcGnGnKnYnR_(K_Y_R_low)_	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
2	nScCnCcGnGnKnYnR_(nY_low)	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
2	nSnCcGnG_(all_low)	E12	P0	HomC	PWM	WMA	100	2	0	0	2	0	middle
2	nSnCcGnGcKnKcYnYcRnR_(cR_low)_	E12	P0	HomC	PWM	WMA	100	7	0	0	7	0	pwm
2	nSnCcGnGcKnKcYnYnR	E12	P0	HomC	PWM	WMA	100	2	0	0	2	0	pwm
2	nSnCcGnGnKcYnYnR_(nS_nC_nK_nY_low)	E12	P0	HomC	Cortical	BG	100	2	2	0	0	0	post
2	nSnCcGnGnKnY_(K_Y_low)	E12	P0	HomC	Cortical	BG	100	4	4	0	0	0	post
2	nSnCcGnGnR_(C_R_low)	E12	P0	HomC	PWM	WMA	200	14	0	0	14	0	middle
3	cCcGnG	E12	P0	HetC	Cortical_PWM	BG_WMA	100	11	1	0	10	0	post
3	cGnG	E12	P0	HomC	Cortical	BG	100	2	2	0	0	0	ant
3	cGnG_(nG_low)	E12	P0	HomC	PWM	WMA	100	6	0	0	6	0	pwm
3	cGnGcKnKcYnY_(K_Y_low)	E12	P0	HomC	Cortical	BG	100	2	2	0	0	0	ant
3	cScCcGcR_(all_low)	E12	P0	HomC	Cortical	BG	100	9	9	0	0	0	ant
3	cSnScCnCcGnGnKnY_(cS_nK_nK_low)	E12	P0	HomC	PWM	WMA	100	2	0	0	2	0	pwm
3	nCcGnGcKnKcYnYcR(nC__cR_low)	E12	P0	HomC	PWM	WMA	100	6	0	0	6	0	pwm
3	nCcGnGcKnKcYnYnR_(nK_nK_nR_low)	E12	P0	HomC	PWM	WMA	100	2	0	0	2	0	pwm
3	nScCcGnGcKcY_(S_C_K_Y_low)_	E12	P0	HomC	PWM	WMA	100	3	0	0	3	0	pwm
3	nScCcGnGnKnY_(C_K_Y_low)	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
3	nScCnCcGnGcKnKcYnYnR	E12	P0	HomC	PWM	WMA	100	3	0	0	3	0	pwm
3	nScCnCcGnGnKnYnR_(K_Y_low)	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
3	nSnCcGnG(S_C_low)	E12	P0	HomC	PWM	WMA	100	3	0	0	3	0	pwm
3	nSnCcGnGcKnKcYnY_(nK_nY_low)	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
3	nSnCcGnGcKnKcYnYnR_(nS_nC_nR_low)	E12	P0	HomC	PWM	WMA	100	2	0	0	2	0	pwm
3	nSnCcGnGnKnY_(nK_nY_low)	E12	P0	HomC	PWM	WMA	100	1	0	0	1	0	pwm
